Churn_Score,Total_Charges,Tenure_Months,Monthly_Charge,Contract_Month-to-month,CLTV,Latitude,Zip_Code,Longitude,Online_Security,Churn_Label,Senior_Citizen,Partner,Dependents,Paperless_Billing,Tech_Support,Device_Protection,Payment_Method_Bank transfer (automatic),Payment_Method_Credit card (automatic),Payment_Method_Electronic check,Payment_Method_Mailed check,Internet_Service_DSL,Internet_Service_Fiber optic,Internet_Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,CustomerID
65,3549.25,34,106.35,TRUE,2941,34.137412,90041,-118.207607,0,1,0,0,1,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5380-WJKOV
70,1105.4,11,97.85,TRUE,5674,34.11572,90042,-118.192754,0,1,0,0,1,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,8168-UQWWF
90,144.15,2,80.65,TRUE,5586,33.987945,90056,-118.370442,0,1,0,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7760-OYPDY
82,1426.4,15,99.1,TRUE,2966,33.92128,90061,-118.274186,1,1,0,0,1,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9420-LOJKX
69,633.3,8,80.65,TRUE,5302,34.044271,90063,-118.185237,0,1,1,1,1,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7495-OOKFY
81,1752.55,18,95.45,TRUE,3179,34.108833,90065,-118.229715,0,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1658-BYGOY
96,857.25,9,94.4,TRUE,5571,34.063947,90211,-118.383001,0,1,0,0,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5698-BQJOH
87,79.35,1,79.35,TRUE,2483,33.97803,90255,-118.217141,0,1,0,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5919-TMRGD
70,496.9,7,75.15,TRUE,3457,33.923573,90262,-118.200669,0,1,0,1,1,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9191-MYQKX
86,927.35,12,78.95,TRUE,5806,33.977468,90292,-118.445475,1,1,0,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,8637-XJIVR
66,113.85,5,21.05,TRUE,2604,33.956445,90301,-118.358634,,1,0,0,0,0,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0278-YXOOG
88,2514.5,25,98.5,TRUE,5337,33.936291,90303,-118.332639,0,1,1,1,1,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4598-XLKNJ
86,7611.85,68,110,FALSE,5034,34.031529,90403,-118.491156,0,1,0,1,0,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3192-NQECA
75,5238.9,55,96.75,TRUE,5154,33.867257,90504,-118.330794,1,1,0,1,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0486-HECZI
67,2868.15,37,76.5,TRUE,2793,33.972119,90602,-118.020188,0,1,1,1,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4846-WHAFZ
87,1064.65,10,100.25,TRUE,5998,33.976678,90606,-118.065875,1,1,0,1,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5299-RULOA
76,229.55,3,74.4,TRUE,4415,33.940619,90631,-117.9513,0,1,0,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0404-SWRVG
95,2135.5,27,78.05,TRUE,4638,33.989524,90660,-118.089299,0,1,1,0,1,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4412-YLTKF
99,1502.65,25,58.6,TRUE,4190,33.391181,90704,-118.421305,1,1,0,1,0,1,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6207-WIOLX
80,35.45,1,35.45,TRUE,2301,33.798266,90710,-118.300237,0,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3091-FYHKI
76,81.25,2,44.35,TRUE,2570,33.840524,90712,-118.148403,0,1,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2372-HWUHI
76,70.45,1,70.45,TRUE,3964,33.79499,90720,-118.065591,0,1,1,1,1,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0390-DCFDQ
66,563.65,8,71.15,TRUE,2662,33.736387,90731,-118.284363,1,1,0,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4080-OGPJL
73,45.65,1,45.65,TRUE,2600,33.822295,90745,-118.26411,0,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2135-RXIHG
94,655.5,7,95,TRUE,2786,33.783047,90804,-118.1486,0,1,0,0,1,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3874-EQOEP
86,1592.35,20,82.4,TRUE,5719,34.196837,91001,-118.142236,1,1,0,1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0867-MKZVY
75,273,4,70.9,TRUE,4287,34.1528,91016,-118.000482,0,1,0,0,1,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3376-BMGFE
100,2651.2,58,45.3,TRUE,5444,34.168686,91024,-118.057505,0,1,1,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3445-HXXGF
83,242.8,2,104.4,TRUE,4690,34.296574,91042,-118.244839,0,1,0,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1875-QIVME
80,5000.2,53,94.85,FALSE,4328,34.167465,91103,-118.165327,0,1,0,1,0,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0691-JVSYA
99,1145.7,15,74.45,TRUE,5717,34.139402,91106,-118.128658,0,1,1,0,1,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2656-FMOKZ
81,503.6,7,76.45,TRUE,4419,34.159007,91107,-118.087353,1,1,1,0,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2070-FNEXE
95,29.95,1,29.95,TRUE,4534,34.167926,91202,-118.267539,0,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6317-YPKDH
86,662.65,8,84.5,TRUE,2152,34.136306,91204,-118.26036,0,1,0,0,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9367-WXLCH
73,1111.65,13,79.25,TRUE,5142,34.162515,91206,-118.203869,0,1,0,0,1,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1918-ZBFQJ
94,24.8,1,24.8,TRUE,4851,34.182378,91207,-118.262922,0,1,0,1,0,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1024-GUALD
94,531,6,91,TRUE,2283,34.224377,91304,-118.632656,0,1,0,1,1,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2472-OVKUP
98,79.9,1,79.9,TRUE,3394,34.266389,91345,-118.459744,0,1,0,0,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1285-OKIPP
71,1934.45,19,106.6,TRUE,3764,34.502432,91350,-118.41459,1,1,0,0,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7825-ECJRF
76,84.5,2,46,TRUE,2667,34.231053,91352,-118.338307,0,1,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7841-TZDMQ
67,268.35,4,70.15,TRUE,2227,34.364153,91381,-118.615583,0,1,0,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9408-SSNVZ
82,179.35,4,50.05,TRUE,3394,34.223768,91402,-118.445461,0,1,0,1,0,0,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0742-MOABM
81,55.2,1,55.2,TRUE,3638,34.17847,91411,-118.459472,0,1,0,1,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2232-DMLXU
66,84.6,1,84.6,TRUE,2484,34.213049,91504,-118.317651,1,1,0,0,1,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,8937-RDTHP
81,114.1,2,54.4,TRUE,2556,34.1692,91601,-118.372498,0,1,0,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1251-KRREG
85,1120.3,11,95,TRUE,5980,34.207295,91605,-118.400022,0,1,1,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0094-OIFMO
86,1074.3,15,74.4,TRUE,4616,34.097345,91722,-117.906736,0,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9947-OTFQU
77,48.55,1,48.55,TRUE,5687,34.084747,91723,-117.886844,1,1,0,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0322-YINQP
75,147.15,2,70.4,TRUE,5687,34.079934,91731,-118.046695,0,1,0,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4629-NRXKX
65,40.2,1,40.2,TRUE,5828,34.074492,91732,-118.01462,0,1,1,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9514-JDSKI
99,80.55,2,44.6,TRUE,4884,34.031441,91744,-117.936436,0,1,0,1,0,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4959-JOSRX
96,132.2,3,41.15,TRUE,2314,34.038983,91746,-117.991372,0,1,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7273-TEFQD
84,1364.3,13,106.9,TRUE,2494,33.976753,91748,-117.897367,0,1,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3606-TWKGI
83,1099.6,59,19.35,FALSE,5084,34.057256,91762,-117.667677,,1,0,0,0,0,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,6323-AYBRX
81,1511.2,16,94.45,TRUE,3810,34.074087,91764,-117.605618,0,1,1,0,0,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4385-GZQXV
73,24.8,1,24.8,TRUE,5087,34.042286,91766,-117.756106,0,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6366-ZGQGL
69,70.6,1,70.6,TRUE,3338,34.067932,91768,-117.785168,0,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5940-AHUHD
80,401.1,5,85.4,TRUE,3676,34.065108,91770,-118.082791,0,1,0,1,0,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6432-TWQLB
65,5624.85,52,105.05,TRUE,4839,34.102119,91773,-117.815532,0,1,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4484-GLZOU
68,1779.95,18,95.15,TRUE,4643,34.061634,91791,-117.893169,0,1,0,1,0,0,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9512-UIBFX
97,70,1,70,TRUE,4094,34.074736,91803,-118.145959,0,1,0,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5583-SXDAG
80,606.55,8,74.5,TRUE,4345,32.827184,91901,-116.703729,0,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3488-PGMQJ
83,435.4,10,44.85,TRUE,4061,32.67117,91902,-117.00232,0,1,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3580-REOAC
98,1712.7,24,76.1,TRUE,2018,32.677097,91905,-116.304991,0,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7534-BFESC
80,73.6,1,73.6,TRUE,2565,32.857946,91931,-116.561917,1,1,0,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6390-DSAZX
85,396.1,4,95.45,TRUE,3677,32.649787,91934,-116.2237,0,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,8098-LLAZX
69,2303.35,32,74.9,TRUE,4105,32.830852,91948,-116.444601,0,1,1,1,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0265-EDXBD
69,415.55,5,80.6,TRUE,5715,33.200369,92004,-116.192313,0,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7563-BIUPC
81,3058.65,38,80.3,FALSE,2071,33.098018,92009,-117.258203,1,1,0,1,0,0,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2321-OMBXY
73,2231.05,24,93.15,TRUE,2212,32.948262,92014,-117.256086,0,1,1,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2840-XANRC
83,4350.1,54,82.45,FALSE,4149,32.79697,92020,-116.969082,1,1,1,0,0,0,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5020-ZSTTY
73,139.05,2,70.35,TRUE,2671,33.079834,92029,-117.134275,0,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5804-LEPIM
67,511.25,7,73.85,TRUE,2473,33.254497,92057,-117.285879,0,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0122-OAHPZ
92,155.8,2,80.6,TRUE,2683,33.384345,92059,-117.072619,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2868-SNELZ
81,5293.95,68,75.8,FALSE,4903,33.309852,92060,-116.823091,0,1,0,1,0,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4322-RCYMT
91,4759.85,43,104.6,FALSE,5250,33.313828,92061,-116.940501,0,1,0,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6680-NENYN
98,6603,63,103.4,TRUE,4352,33.215251,92066,-116.53633,0,1,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1343-EHPYB
76,168.2,2,90.4,TRUE,4157,33.25283,92082,-116.986079,0,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2034-GDRCN
73,371.9,4,84.8,TRUE,4939,32.747484,92103,-117.166877,0,1,0,1,0,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0219-YTZUE
97,840.1,21,41.9,TRUE,4778,32.741499,92104,-117.127409,1,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0623-IIHUG
85,846,10,80.25,TRUE,3598,32.741859,92105,-117.090353,0,1,0,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4572-DVCGN
91,805.1,27,30.75,TRUE,2927,32.774046,92108,-117.142454,1,1,1,1,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9057-MSWCO
98,492.55,5,96.5,TRUE,5383,32.765299,92116,-117.122565,0,1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1010-DIAUQ
73,181.5,2,85.65,TRUE,3878,32.85723,92122,-117.209774,0,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0259-GBZSH
66,2566.5,25,104.95,TRUE,3642,32.961064,92129,-117.134917,0,1,0,1,0,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9601-BRXPO
76,50.65,1,50.65,TRUE,2431,32.578103,92154,-117.012975,0,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6905-NIQIN
81,90.85,1,90.85,TRUE,3424,33.713891,92201,-116.237257,0,1,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5167-ZFFMM
80,214.75,11,19.95,TRUE,5888,33.537646,92210,-116.291089,,1,1,1,0,0,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4895-TMWIR
100,4874.7,55,85.45,TRUE,5502,33.762759,92211,-116.324817,0,1,1,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0533-BNWKF
94,2524.45,34,73.95,TRUE,5795,33.948558,92240,-116.516976,0,1,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6599-CEBNN
80,7007.6,69,99.45,TRUE,4020,32.811001,92250,-115.152865,0,1,0,1,0,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0979-PHULV
92,19.9,1,19.9,TRUE,3351,33.345825,92257,-115.596574,,1,0,0,0,1,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4800-VHZKI
95,19.6,1,19.6,TRUE,3448,33.906496,92258,-116.569499,,1,0,0,0,1,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7989-CHGTL
73,233.7,3,81.35,TRUE,2818,32.698964,92259,-115.886656,0,1,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0334-GDDSO
88,1845.9,22,83.3,TRUE,3804,32.790282,92273,-115.689559,0,1,0,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0578-SKVMF
67,75.3,1,75.3,TRUE,4902,33.53604,92274,-116.119222,0,1,1,0,0,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5564-NEMQO
82,1182.55,61,19.4,TRUE,4221,34.667815,92301,-117.536183,,1,0,1,0,1,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,9063-ZGTUY
68,518.9,12,45.4,TRUE,2887,34.55082,92307,-117.122396,0,1,0,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2957-LOLHO
84,6396.45,60,105.9,TRUE,4105,34.248061,92325,-117.29028,0,1,0,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,7752-XUSCI
73,69.55,1,69.55,TRUE,2792,34.875144,92327,-116.821698,0,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4110-PFEUZ
98,2227.1,28,81.05,TRUE,5201,34.702766,92338,-116.093376,0,1,0,1,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0256-LTHVJ
84,385.9,4,101.15,TRUE,4417,34.508417,92356,-116.856103,0,1,0,1,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0880-TKATG
98,673.25,7,99.8,TRUE,2031,34.238162,92358,-117.534306,0,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3811-VBYBZ
91,734.35,13,55.95,TRUE,4498,34.441123,92371,-117.537886,0,1,0,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4640-UHDOS
71,55,1,55,TRUE,4877,34.003243,92373,-117.138286,0,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3583-EKAPL
80,74.7,1,74.7,TRUE,5980,34.156758,92377,-117.404686,0,1,0,1,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,9399-APLBT
77,1861.5,24,80.25,TRUE,4418,34.186211,92382,-117.07683,0,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2359-KMGLI
66,453.4,5,96.1,TRUE,4192,35.824572,92389,-116.274755,0,1,0,0,0,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0306-JAELE
73,994.8,15,69,TRUE,5671,34.486835,92392,-117.362274,0,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6227-HWPWX
65,2145,48,45.3,TRUE,4926,34.358321,92397,-117.618263,1,1,0,1,0,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0447-BEMNG
65,680.05,8,83.55,TRUE,2879,34.105935,92401,-117.2914,0,1,0,1,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5949-XIKAE
